Restaurant Name ,Cuisine ,Cost,Rating,Address ,Phone Number ,Image
Arbor Grill,American ,$,4.1,"N Garden Grove Ave, Northridge, CA 91330",N/A,../Restaurant_images/Arbor Grill (4.1)/Capture1.PNG
Shake Smart,Health Food ,$$,4.6,"18111 Nordhoff St, Northridge, CA 91330",(858) 461-8313,
Bun Me,Vietnamese,$,4.6,"9420 Reseda Blvd #5, Northridge, CA 91324",(818) 993-0438,
The Pub Sports Grill ,Grill,$,4.4,"The Pub Sports Grill, 18111 Nordhoff St, Northridge, CA 91330",(818) 677-7604,
Señor Sol,Mexican ,$,4.4,"3137, 9233 Reseda Blvd, Northridge, CA 91324",(818) 341-3024,
California Chicken Cafe,Chicken ,$$$,4.5,"18445 Nordhoff St, Northridge, CA 91325",(818) 700-9977,
Pita Pockets,Mediterranean,$,4.7,"9127 Reseda Blvd, Northridge, CA 91324",(818) 709-4444,
Falafel Palace,Middle Eastern,$,4.5,"9255 Reseda Blvd, Northridge, CA 91324",(818) 993-0734,
Lum-Ka-Naad,Thai,$,4.4,"8910 Reseda Blvd, Northridge, CA 91324",(818) 882-3028,
California Bowl Sushi & Teriyaki,Sushi,$,4.6,"9002 Balboa Blvd, Northridge, CA 91325",(818) 920-9757,
Futaba ,Ramen,$$,4.5,"18429 Nordhoff St Ste. D, Northridge, CA 91325",(818) 886-2285,
Sharky's ,Mexican ,$$,4.4,"18426 Nordhoff St, Northridge, CA 91325",(818) 772-2800,
Szechuan Place,Chinese,$,4.4,"9250 Reseda Blvd, Northridge, CA 91324",(818) 280-5355,
Thai Chili House ,Thai,$,4,"18110 Nordhoff St, Northridge, CA 91325",(818) 993-8529,
Geronimo's ,American ,$,3.9,"9851 Zelzah Ave, Northridge, CA 91330",N/A,
Pizzasaurus Rex,Italian ,$,4.4,"17646 Lassen St #4, Northridge, CA 91325",(818) 772-7739,
Jarocho Restaurant,Takeout,$,3.5,"17646 Lassen St, Northridge, CA 91325",(818) 998-3371,
Kogiya Korean BBQ,Korean BBQ,$$,3.7,"9711 Reseda Blvd, Northridge, CA 91324",(818) 717-0234,
Micheladas Mex Grill,Mexican ,$,4.7,"9725 Reseda Blvd, Northridge, CA 91324",(818) 527-1132,
Sushi KATSU-YA Northridge,Japanese,$$,4.4,"9701 Reseda Blvd, Northridge, CA 91324",(818) 678-1700,
Ubatuba Acai - Northridge,Brazilian ,$,4.4,"9667 Reseda Blvd, Northridge, CA 91324",(818) 960-9090,
Pho 22,Vietnamese,$,4.3,"9651 Reseda Blvd, Northridge, CA 91324",(818) 341-4022,
Chi's Chinese Cuisine,Chinese,$$,4.5,"9635 Reseda Blvd, Northridge, CA 91324",(818) 886-6928,
Furai Chicken Northridge,American ,$$$,4.1,"9545 Reseda Blvd #14, Northridge, CA 91324",(818) 280-3358,
Small Island,Japanese,$$,4.3,"9545 Reseda Blvd #16, Northridge, CA 91324",(818) 341-1884,
Bounce Boba Lounge,Bubble Tea,$,4.5,"9545 Reseda Blvd #17, Northridge, CA 91324",(818) 576-9310,
Kickin KAsian,Cajun,$$,4.5,"9545 Reseda Blvd #20, Northridge, CA 91324",(818) 280-5563,
Baskin-Robbins,Ice Cream,$,4.3,"9514 Reseda Blvd Suite 1, Northridge, CA 91324",(818) 701-9061,
Halal House,Middle Eastern,$$,4.8,"9514 Reseda Blvd #11, Northridge, CA 91324",(818) 527-1440,
My Hero Sandwiches,Sandwich,$,4.5,"9514 Reseda Blvd, Northridge, CA 91324",(818) 349-4255,
Jack in the Box,Fast Food,$,3.9,"8322 Balboa Blvd, Northridge, CA 91325",(818) 345-6492,
