Restaurant Name ,Cuisine ,Cost,Rating
Arbor Grill,American ,$,4.1
Shake Smart,Health Food ,$$,4.6
Bun Me,Vietnamese,$,4.6
The Pub Sports Grill ,Grill,$,4.4
Señor Sol,Mexican ,$,4.4
California Chicken Cafe,Chicken ,$$$,4
Pita Pockets,Mediterranean,$,4.7
Falafel Palace,Middle Eastern,$,4.5
Lum-Ka-Naad,Thai,$,4.4
California Bowl Sushi & Teriyaki,Sushi,$,4.6
Futuba ,Ramen,$$,4.5
Sharky's ,Mexican ,$$,4.4
Szechuan Place,Chinese,$,4.4
Thai Chili House ,Thai,$,4
Geronimos ,American ,$,3.9
Pizzasaurus Rex,Italian ,$,4.4
Jarocho Restaurant,Takeout,$,3.5
Kogiya Korean BBQ,Korean BBQ,$$,3.7
Micheladas Mex Grill,Mexican ,$,4.7
Sushi KATSU-YA Northridge,Japanese,$$,4.4
Ubatuba Acai - Northridge,Brazilian ,$,4.4
Pho 22,Vietnamese,$,4.3
Chi's Chinese Cuisine,Chinese,$$,4.5
Furai Chicken Northridge,American ,$$$,4.1
Small Island,Japanese,$$,4.3
Bounce Boba Lounge,Bubble Tea,$,4.5
Kickin KAsian,Cajun,$$,4.5
Baskin-Robbins,Ice Cream,$,4.3
Halal House,Middle Eastern,$$,4.8
My Hero Sandwiches,Sandwich,$,4.5
Jack in the Box,Fast Food,$,3.9
Starbucks,Coffee,$$,4.5
Fresh Potato Factory,Vegetarian ,$$,4.5
Pizza Way,Italian ,$$,4
Arabista,Middle Eastern,$$,4.8
Waffle Love - Northridge,Middle Eastern,$$,4.7
Dunkin',Coffee,$,4.5
Tamarindo Fox One,Russian,$,3.5
King's Burgers and Got Sushi,American/ Japanese,$$,4.4
Poseidon Restaurant & Lounge,Medditerranean,$$,4.5
Mandarin Deli Restaurant,Chinese,$,4.4
海港海鲜 (Harbor Seafood),Seafood,$,3.7
A & W Seafood Restaurant,Seafood,$$,4.1
Falafel Palace,Middle Eastern,$,4.5
R Coffee House,Coffee,$,4.5
Emle's Restaurant,Diner,$$,4.5
Szechuan Place,Chinese,$$,4.4
Chop Stop,Fast Food,$,4.5
The Habit Burger Grill (Drive-Thru),Hamburger,$,4.5
Chili's,Tex-Mex/American,$$,4.2
Subway,Sandwich,$,3.5
Yalla Shawarma,Syrian,$,4.2
Maria's Italian Kitchen,Italian ,$$,4.4
Baja Fresh,Mexican ,$,3.9
Pieology Pizzeria,Italian ,$,4.2
Two Hands Corn Dogs,American,$,4.8
Yoshinoya,Japanese,$,4.2
WaBa Grill,Asian Fusion,$,4.1
Boba My Tea,Tea House,$,4.6
Fishbowl Poke Co.,Seafood,$$,4.4
Wienerschnitzel,Fast Food,$,4.3
Farmer Boys,Diner,$$,4.3
Urbane Cafe,Sandwich,$,4.6
LETTUCE FEAST,Takeout,$,3.7
Boba Tea House,Chinese Tea House,$,4.8
Kim’s Cafe,Seafood,$,4.8
Cupid's Hot Dogs,Fast Food,$,4.5
Papa John's Pizza,Pizza,$,3.7
leyna reyes,Tofu,$$,3.5
Orange Grove Bistro,Bistro,$$,4.1
El Pollo Loco,Mexican ,$,4
Burger King,Fast Food,$,3.9
Panda Express,Chinese,$,4.3
Freudian Sip,Cafe,$,3
The Marketplace,Breakfast ,$,4.1
Juice It Up!,Juice,$,4.4
Hawaiian Hot Chicken,Fast Food,$,4.4
